Date,Open,High,Low,Close,Volume
2023-10-24 00:00:00-04:00,326.38,326.91,322.74,325.62,31153600
2023-10-25 00:00:00-04:00,339.90,341.06,332.61,335.61,55053800
2023-10-26 00:00:00-04:00,335.48,336.56,322.09,323.02,37828500
2023-10-27 00:00:00-04:00,325.52,331.72,323.52,324.91,29856500
2023-10-30 00:00:00-04:00,328.46,334.41,326.90,332.30,22828100
2023-10-31 00:00:00-04:00,333.82,333.97,329.72,333.09,20265300
2023-11-01 00:00:00-04:00,334.75,342.26,334.61,340.93,28158800
2023-11-02 00:00:00-04:00,342.08,343.65,339.65,343.15,24348100
2023-11-03 00:00:00-04:00,344.44,349.13,342.17,347.56,23637700
2023-11-06 00:00:00-05:00,348.20,352.23,348.10,351.24,23828300
2023-11-07 00:00:00-05:00,354.06,357.08,352.32,355.18,25833900
2023-11-08 00:00:00-05:00,356.31,358.47,355.20,357.81,26767800
2023-11-09 00:00:00-05:00,356.92,359.37,355.01,355.34,24847300
2023-11-10 00:00:00-05:00,356.12,364.61,355.71,364.18,28042100
2023-11-13 00:00:00-05:00,362.75,363.00,360.47,361.24,19986500
2023-11-14 00:00:00-05:00,365.50,366.43,361.90,364.77,27683900
2023-11-15 00:00:00-05:00,366.51,368.34,362.39,364.92,26860100
2023-11-16 00:00:00-05:00,366.19,371.52,365.42,371.34,27182300
2023-11-17 00:00:00-05:00,368.81,369.56,362.29,365.10,40157000
2023-11-20 00:00:00-05:00,366.45,374.00,366.23,372.59,52465100
2023-11-21 00:00:00-05:00,370.84,371.39,366.35,368.28,28423100
2023-11-22 00:00:00-05:00,373.14,374.91,370.15,373.00,23345300
2023-11-24 00:00:00-05:00,372.48,373.11,370.32,372.58,10176600
2023-11-27 00:00:00-05:00,371.94,375.75,371.37,373.75,22179200
2023-11-28 00:00:00-05:00,373.49,378.08,373.30,377.78,20453100
2023-11-29 00:00:00-05:00,378.83,379.36,372.59,373.98,28963400
2023-11-30 00:00:00-05:00,373.63,375.21,370.65,374.04,30554400
2023-12-01 00:00:00-05:00,371.92,373.30,366.54,369.70,33040500
2023-12-04 00:00:00-05:00,364.36,364.77,358.24,364.40,32063300
2023-12-05 00:00:00-05:00,361.74,368.29,360.92,367.73,23065000
2023-12-06 00:00:00-05:00,368.74,369.37,363.30,364.06,21182100
2023-12-07 00:00:00-05:00,363.50,366.68,361.61,366.18,23118900
2023-12-08 00:00:00-05:00,364.46,369.65,363.50,369.42,20154400
2023-12-11 00:00:00-05:00,363.75,366.83,361.40,366.53,27708800
2023-12-12 00:00:00-05:00,366.09,369.61,365.70,369.57,24838300
2023-12-13 00:00:00-05:00,371.19,372.79,366.01,369.56,30955500
2023-12-14 00:00:00-05:00,368.51,368.96,359.45,361.23,43277500
2023-12-15 00:00:00-05:00,362.14,367.62,361.57,365.97,78502300
2023-12-18 00:00:00-05:00,364.70,368.21,363.94,367.86,21802900
2023-12-19 00:00:00-05:00,366.72,368.46,365.09,368.46,20603700
2023-12-20 00:00:00-05:00,370.18,371.20,365.77,365.86,26316700
2023-12-21 00:00:00-05:00,367.77,369.60,365.29,368.74,17708000
2023-12-22 00:00:00-05:00,368.88,370.36,367.92,369.77,17107500
2023-12-26 00:00:00-05:00,370.18,372.10,368.70,369.85,12673100
2023-12-27 00:00:00-05:00,368.89,370.24,368.02,369.26,14905400
2023-12-28 00:00:00-05:00,370.55,371.62,369.35,370.46,14327000
2023-12-29 00:00:00-05:00,371.17,372.31,368.68,371.21,18730800
2024-01-02 00:00:00-05:00,369.06,371.07,362.06,366.11,25258600
2024-01-03 00:00:00-05:00,364.27,368.46,363.78,365.84,23083500
2024-01-04 00:00:00-05:00,365.91,368.31,362.45,363.21,20901500
2024-01-05 00:00:00-05:00,364.23,367.28,361.79,363.03,21004600
2024-01-08 00:00:00-05:00,364.56,370.38,364.27,369.88,23134000
2024-01-09 00:00:00-05:00,367.23,371.16,366.42,370.96,20830000
